Time,CH0,CH1,CH2,CH3
17.2042,2.23583e+07,281.257,282.22,277.655
17.2044,2.23603e+07,281.319,279.811,277.698
17.2046,2.23623e+07,281.319,279.811,277.739
17.2048,2.23643e+07,281.658,282.429,277.831
17.205,2.23663e+07,281.658,282.429,277.921
17.2052,2.23683e+07,281.806,280.858,277.979
17.2054,2.23703e+07,281.806,280.858,278.035
17.2056,2.23723e+07,281.898,282.429,278.121
17.2058,2.23743e+07,281.898,282.429,278.206
17.206,2.23763e+07,282.038,280.021,278.241
17.2062,2.23783e+07,282.038,280.021,278.276
17.2064,2.23803e+07,282.148,282.639,278.362
17.2066,2.23823e+07,282.148,282.639,278.446
17.2068,2.23843e+07,282.109,280.021,278.477
17.207,2.23863e+07,282.109,280.021,278.507
17.2072,2.23883e+07,282.139,282.01,278.576
17.2074,2.23903e+07,282.139,282.01,278.643
17.2076,2.23923e+07,282.102,280.23,278.674
17.2078,2.23943e+07,282.102,280.23,278.705
17.208,2.23963e+07,282.437,285.047,278.829
17.2082,2.23983e+07,282.437,285.047,278.951
17.2084,2.24003e+07,282.557,283.686,279.044
17.2086,2.24023e+07,282.557,283.686,279.135
17.2088,2.24043e+07,282.965,284.838,279.246
17.209,2.24063e+07,282.965,284.838,279.356
17.2092,2.24083e+07,283.084,281.277,279.394
17.2094,2.24103e+07,283.086,280.649,279.418
17.2096,2.24123e+07,283.086,280.649,279.443
17.2098,2.24143e+07,283.03,276.251,279.38
17.21,2.24163e+07,283.03,276.251,279.319
17.2102,2.24183e+07,283.097,282.429,279.38
17.2104,2.24203e+07,283.097,282.429,279.439
17.2106,2.24223e+07,283.189,280.858,279.467
17.2108,2.24243e+07,283.189,280.858,279.494
17.211,2.24263e+07,283.42,283.058,279.564
17.2112,2.24283e+07,283.42,283.058,279.633
17.2114,2.24303e+07,283.464,280.021,279.64
17.2116,2.24323e+07,283.464,280.021,279.648
17.2118,2.24343e+07,283.413,281.277,279.68
17.212,2.24363e+07,283.413,281.277,279.711
17.2122,2.24383e+07,283.506,280.021,279.717
17.2124,2.24403e+07,283.506,280.021,279.723
17.2126,2.24423e+07,283.53,281.801,279.764
17.2128,2.24443e+07,283.53,281.801,279.804
17.213,2.24463e+07,283.744,284.628,279.898
17.2132,2.24483e+07,283.744,284.628,279.991
17.2134,2.24503e+07,283.79,283.686,280.064
17.2136,2.24523e+07,283.79,283.686,280.135
17.2138,2.24543e+07,283.945,284,280.211
17.214,2.24563e+07,283.945,284,280.285
17.2142,2.24583e+07,283.886,282.429,280.327
17.2144,2.24603e+07,283.886,282.429,280.368
17.2146,2.24623e+07,284.156,282.639,280.413
17.2148,2.24643e+07,284.156,282.639,280.456
17.215,2.24663e+07,284.066,282.01,280.487
17.2152,2.24683e+07,284.066,282.01,280.517
17.2154,2.24703e+07,284.368,282.22,280.55
17.2156,2.24723e+07,284.368,282.22,280.583
17.2158,2.24743e+07,284.049,282.639,280.623
17.216,2.24763e+07,284.049,282.639,280.663
17.2162,2.24783e+07,284.487,283.686,280.722
17.2164,2.24803e+07,284.487,283.686,280.78
17.2166,2.24823e+07,284.507,283.686,280.837
17.2168,2.24843e+07,284.507,283.686,280.893
17.217,2.24863e+07,284.519,281.277,280.9
17.2172,2.24883e+07,284.519,281.277,280.908
17.2174,2.24903e+07,284.736,280.649,280.903
17.2176,2.24923e+07,284.736,280.649,280.898
17.2178,2.24943e+07,284.632,283.267,280.944
17.218,2.24963e+07,284.632,283.267,280.99
17.2182,2.24983e+07,284.71,278.659,280.944
17.2184,2.25003e+07,284.71,278.659,280.899
17.2186,2.25023e+07,284.726,283.476,280.95
17.2188,2.25043e+07,284.726,283.476,280.999
17.219,2.25063e+07,284.71,281.068,281.001
17.2192,2.25083e+07,284.71,281.068,281.002
17.2194,2.25103e+07,284.711,283.476,281.05
